[2018-10-18 00:21:16,971][INFO] Training started on cuda:0
[2018-10-18 03:53:27,531][INFO] [81/200] Train loss: 192.077383 
[2018-10-18 03:53:28,767][INFO] [81/200] Validation loss: 206.468051 
[2018-10-18 03:53:28,770][INFO] [81/200] Time: 149.136264 s
[2018-10-18 03:53:28,771][INFO] ------------------------------
[2018-10-18 03:56:08,998][INFO] [82/200] Train loss: 152.197681 
[2018-10-18 03:56:10,240][INFO] [82/200] Validation loss: 164.514359 
[2018-10-18 03:56:10,248][INFO] [82/200] Time: 161.476018 s
[2018-10-18 03:56:10,249][INFO] ------------------------------
[2018-10-18 03:58:38,918][INFO] [83/200] Train loss: 153.373020 
[2018-10-18 03:58:40,206][INFO] [83/200] Validation loss: 165.499265 
[2018-10-18 03:58:40,208][INFO] [83/200] Time: 149.958130 s
[2018-10-18 03:58:40,210][INFO] ------------------------------
[2018-10-18 04:00:57,179][INFO] [84/200] Train loss: 187.949887 
[2018-10-18 04:00:58,497][INFO] [84/200] Validation loss: 201.603240 
[2018-10-18 04:00:58,500][INFO] [84/200] Time: 138.288725 s
[2018-10-18 04:00:58,502][INFO] ------------------------------
[2018-10-18 04:03:32,019][INFO] [85/200] Train loss: 179.666684 
[2018-10-18 04:03:33,285][INFO] [85/200] Validation loss: 191.283196 
[2018-10-18 04:03:33,288][INFO] [85/200] Time: 154.785488 s
[2018-10-18 04:03:33,290][INFO] ------------------------------
[2018-10-18 04:06:03,644][INFO] [86/200] Train loss: 176.921789 
[2018-10-18 04:06:04,887][INFO] [86/200] Validation loss: 190.599319 
[2018-10-18 04:06:04,890][INFO] [86/200] Time: 151.599349 s
[2018-10-18 04:06:04,891][INFO] ------------------------------
[2018-10-18 04:08:36,309][INFO] [87/200] Train loss: 188.795718 
[2018-10-18 04:08:37,527][INFO] [87/200] Validation loss: 203.825087 
[2018-10-18 04:08:37,533][INFO] [87/200] Time: 152.640563 s
[2018-10-18 04:08:37,534][INFO] ------------------------------
[2018-10-18 04:11:11,821][INFO] [88/200] Train loss: 155.245972 
[2018-10-18 04:11:13,122][INFO] [88/200] Validation loss: 166.526102 
[2018-10-18 04:11:13,125][INFO] [88/200] Time: 155.589329 s
